,0,1
732,2741992,724208
733,358324,793280
734,647226,218386
735,1249878,1647277
736,369196,369197
737,1095022,3887149
738,3357219,4101875
739,4242623,1088968
740,4982995,2615652
741,1095022,2130241
742,85940,393043
743,85940,4475566
744,85940,3191113
745,393043,4475566
746,393043,3191113
747,4475566,3191113
748,1762938,1095022
749,37198,80040
750,37198,492745
751,80040,492745
752,132084,90037
753,132084,115941
754,90037,115941
755,236033,25777
756,151357,164236
757,80105,221030
758,151357,80105
759,4654,49294
760,316512,1393450
761,219213,14481
762,169706,344415
763,169706,5596417
764,344415,5596417
765,1935092,1079116
766,58435,62130
767,69200,13869
768,81206,166190
769,62148,120236
770,2302605,2302607
771,1248483,935428
772,747767,37906
773,747767,324866
774,37906,324866
775,118648,65080
776,100292,1777845
777,100292,986989
778,1777845,986989
779,279843,279844
780,22935,198518
781,22935,242071
782,186902,257898
783,263630,190073
784,169065,205276
785,2311235,197407
786,1461629,150554
787,2880193,2880194
788,2311235,1513490
789,169065,179317
790,106719,122129
791,550039,776810
792,62134,75187
793,82909,216420
794,50514,172841
795,2880193,2880194
796,2936430,1585029
797,320851,1409603
798,271694,299561
799,271694,651696
800,299561,651696
801,142045,1752774
802,3403435,113643
803,3408764,4682301
804,3036981,679338
805,3403435,474124
806,1595698,2936430
807,197644,488605
808,51158,184573
809,3131598,4375604
810,4360326,3274288
811,2834521,3141322
812,2834527,2834539
813,170472,44958
814,5604979,6234659
815,510730,217142
816,4202743,3848663
817,85940,1063881
818,5324297,2390176
819,3231811,3187683
820,57509,80200
821,261565,885942
822,1156906,1058254
823,28579,18123
824,25775,125912
825,25775,187475
826,125912,187475
827,25141,65168
828,50200,175184
829,107751,328931
830,13727,51988
831,53336,100261
832,14014,108618
833,215993,17594
834,132944,1663901
835,182846,241662
836,182846,2367059
837,241662,2367059
838,19699,8993
839,1022985,99663
840,194277,183878
841,134880,172043
842,235174,16659
843,189124,189123
844,467546,582244
845,467546,402609
846,467546,677706
847,582244,402609
848,582244,677706
849,402609,677706
850,144357,195891
851,137532,44392
852,477401,704936
853,477401,670983
854,704936,670983
855,99664,220528
856,190137,188758
857,100756,116227
858,31751,97658
859,60978,50997
860,95002,109832
861,95002,33534
862,95002,18342
863,109832,33534
864,109832,18342
865,33534,18342
866,95002,18342
867,95002,109832
868,95002,66154
869,18342,109832
870,18342,66154
871,109832,66154
872,14295,27811
873,14295,209156
874,27811,209156
875,231775,216149
876,1217320,59048
877,871457,341770
878,14646,1401484
879,908961,1985008
880,186837,93616
881,447032,341770
882,419677,2282960
883,1272632,1332235
884,1272632,1332231
885,1332235,1332231
886,99172,506739
887,341770,3285914
888,341770,4126904
889,3285914,4126904
890,2772887,1902929
891,324883,301152
892,99384,50430
893,64229,193060
894,64229,419323
895,193060,419323
896,81109,28209
897,692467,295231
898,692467,234359
899,295231,234359
900,908961,4589448
901,908961,3473643
902,4589448,3473643
903,908961,2108388
904,215993,40445
905,209690,2106209
906,209690,21742
907,2106209,21742
908,1445,198108
909,1203457,2385844
910,26445,82785
911,422282,186449
912,53529,47076
913,90013,57509
914,90013,175252
915,57509,175252
916,57509,64774
917,57509,57800
918,57509,44360
919,57509,157232
920,44360,157232
921,43174,169601
922,17477,612360
923,17477,30674
924,82947,64774
925,82947,53529
926,64774,53529
927,50514,7708
928,50514,93780
929,50514,29058
930,7708,93780
931,7708,29058
932,93780,29058
933,189635,100558
934,189635,25495
935,100558,25495
936,39829,11213
937,65081,14017
938,22877,126433
939,242480,269844
940,20590,19701
941,20590,21918
942,19701,21918
943,100276,110156
944,100276,255041
945,100276,38256
946,100276,249861
947,110156,255041
948,110156,38256
949,110156,249861
950,255041,38256
951,255041,249861
952,38256,249861
953,34215,102819
954,58708,14753
955,58708,31712
956,58708,125912
957,14753,31712
958,14753,125912
959,31712,125912
960,50514,25654
961,50514,363277
962,50514,46333
963,25654,363277
964,25654,46333
965,363277,46333
966,24211,57979
967,35333,57979
968,25058,187204
969,24205,65081
970,24205,310129
971,65081,310129
972,4818,353733
973,4818,5648
974,4818,39908
975,353733,5648
976,353733,39908
977,5648,39908
978,5648,12470
979,5648,25777
980,12470,25777
981,65048,29059
982,223679,735980
983,26936,66817
984,5090,10090
985,44392,13873
986,17905,18684
987,17905,5649
988,18684,5649
989,51158,98207
990,476414,186837
991,91533,217149
992,3263,110156
993,3263,582883
994,110156,582883
995,120527,17900
996,1107018,1131052
997,45047,50514
998,10818,16575
999,10818,11910
1000,16575,11910
1001,775889,1047641
1002,5455,37863
1003,353733,42157
1004,44399,109335
1005,44399,39908
1006,44399,5648
1007,109335,39908
1008,109335,5648
1009,39908,5648
1010,2904626,19112
1011,2904626,85389
1012,2904626,3155
1013,19112,85389
1014,19112,3155
1015,85389,3155
1016,208442,99172
1017,97633,3492848
1018,22879,3945599
1019,22879,162352
1020,3945599,162352
1021,97633,4162060
1022,21144,401289
1023,57509,64774
1024,57509,301152
1025,57509,103268
1026,57509,3782412
1027,103268,3782412
1028,227408,1686320
1029,1152705,567941
1030,1152705,1026513
1031,567941,1026513
1032,59872,715813
1033,151213,151214
1034,5022386,272562
1035,5022386,31275
1036,272562,31275
1037,2218121,227626
1038,148199,201124
1039,39954,19414
1040,20590,19701
1041,20590,21918
1042,19701,21918
1043,303144,105348
1044,108620,77180
1045,108620,196988
1046,77180,196988
1047,1681068,241983
1048,38561,57770
1049,250273,253960
1050,209690,331528
1051,2497926,2497925
1052,567169,567172
1053,567169,567171
1054,567172,567171
1055,2874067,1142078
1056,703660,252885
1057,3948656,3948655
1058,937004,4368893
1059,1629999,4480529
1060,1629999,5313322
1061,4480529,5313322
1062,195526,225690
1063,38256,213334
1064,133456,139777
1065,1116086,1226949
1066,2360712,205420
1067,52378,6578132
1068,188694,210875
1069,39908,16508
1070,37908,109832
1071,216420,820862
1072,257267,46333
1073,137880,9557
1074,108722,132084
1075,50513,112738
1076,50513,4970
1077,112738,4970
1078,1479204,215610
1079,38661,204817
1080,197311,3227496
1081,9965,2671999
1082,267935,137880
1083,476414,820862
1084,1262687,169508
1085,3642705,2633264
1086,134438,169508
1087,383281,676828
1088,2748904,374448
1089,2748904,2726980
1090,374448,2726980
1091,747767,21742
1092,383281,37908
1093,215993,44958
1094,80569,245421
1095,1364679,197479
1096,1364679,173096
1097,197479,173096
1098,249100,22915
1099,184535,184534
1100,968,6136
1101,21070,218700
1102,82068,27658
1103,82068,35025
