,0,1
1736,39838,110153
1737,39838,231481
1738,14743,110153
1739,14743,231481
1740,110153,231481
1792,33534,60978
1793,60978,33534
1794,33534,37913
1795,33534,80325
1796,33534,181022
1797,33534,2082945
1798,181022,2082945
1799,33534,132084
1805,4478,298134
1806,4478,261590
1807,298134,261590
1809,4478,5455
1810,53529,4478
1812,4478,3351365
1813,286969,57800
1815,813427,854043
1826,4428973,396096
1832,21742,137880
1834,792536,803809
1835,35125,66152
1836,241513,229665
1837,241513,181022
1838,241513,341733
1839,241513,366255
1840,241513,45095
1841,241513,1264567
1842,241513,374226
1843,229665,181022
1844,229665,341733
1845,229665,366255
1846,229665,45095
1847,229665,1264567
1848,229665,374226
1849,181022,341733
1850,181022,366255
1851,181022,45095
1852,181022,1264567
1853,181022,374226
1854,341733,366255
1855,341733,45095
1856,341733,1264567
1857,341733,374226
1858,366255,45095
1859,366255,1264567
1860,366255,374226
1861,45095,1264567
1862,45095,374226
1863,1264567,374226
1865,67691,885103
1866,67691,1195707
1867,67691,232956
1868,885103,1195707
1869,885103,232956
1870,1195707,232956
1871,366255,494714
1872,165952,126073
1873,165952,50997
1874,126073,50997
1878,673612,130964
1882,200586,41233
1887,215993,44958
1888,215993,50997
1889,14757,217277
1891,39908,4778
1894,133768,210318
1898,32417,72087
1902,5682,78711
1903,5682,218405
1904,78711,218405
1905,39833,86495
1906,39833,37907
1907,86495,37907
1909,376312,1719953
1922,21715,20590
1928,137880,382934
1929,25670,25775
1930,25670,6136
1931,25670,2202
1932,25775,6136
1933,25775,2202
1934,6136,2202
1935,79578,17900
1936,26918,36100
1937,100752,109832
1938,51369,39455
1939,4091,14743
1940,186333,39837
1942,110844,110977
1943,53127,90037
1944,53127,137602
1945,90037,137602
1957,5648,120527
1958,66154,31777
1959,150781,36099
1960,773818,352749
1961,14646,21742
1962,62134,254791
1963,634808,185582
1964,203724,641211
1970,13732,227626
1971,227465,110844
1972,227465,229665
1973,227465,36100
1974,227465,120307
1975,110844,229665
1976,110844,36100
1977,110844,120307
1978,229665,36100
1979,229665,120307
1980,36100,120307
1981,253588,192683
1983,395018,113469
1985,39015,53163
1987,92898,243792
1988,420353,36100
1997,111506,185587
2000,3023938,185582
2004,130964,454902
2007,1099486,137603
2010,792886,467940
2012,2545,227583
2013,195013,69211
2018,176751,41233
2019,176751,58137
2020,41233,58137
2021,77180,70351
2022,113499,113497
2025,209294,383281
2026,209294,722712
2027,209294,132084
2028,383281,722712
2029,383281,132084
2030,722712,132084
2031,383281,132084
2032,45963,81951
2035,168693,35746
2041,39713,37308
2055,1546718,106720
2059,356288,193610
2073,54619,183879
2089,14757,184924
2090,14757,181644
2091,14757,134904
2092,14757,65081
2093,184924,181644
2094,184924,134904
2095,184924,65081
2096,181644,134904
2097,181644,65081
2098,134904,65081
2102,40426,2202
2103,40426,123981
2104,2202,123981
2105,2959589,18123
2106,37343,58554
2107,215993,9741
2109,245385,209479
2112,918843,98207
2118,4562649,182673
2119,410424,586332
2125,47309,70571
2163,50514,93616
2169,37906,20957
2170,37906,35848
2171,37906,270049
2172,20957,35848
2173,20957,270049
2174,35848,270049
2176,173559,197812
2180,427992,361356
2181,105456,167646
2187,28209,51188
2188,14295,217277
2189,2133832,22910
2193,112754,51988
2195,137204,232815
2197,301850,301848
2200,66147,1005259
2203,105453,50703
2204,38661,533279
2205,4562649,182673
2207,100558,44958
2218,39713,37308
2232,40399,50514
2233,40399,54211
2234,50514,54211
