V1,V2
1364679,197479
1364679,173096
197479,173096
249100,22915
184535,184534
968,6136
21070,218700
82068,27658
82068,35025
27658,35025
1582740,36711
157241,34220
82693,5648
82693,2202
82693,44399
5648,2202
5648,44399
2202,44399
536239,696632
536239,696631
696632,696631
536239,696632
155417,51617
5648,27555
227198,211100
1153964,117845
534737,57471
157238,58554
173557,232986
133866,60978
133866,48604
60978,48604
45095,37910
45095,181339
45095,63978
37910,181339
37910,63978
181339,63978
242071,198518
46282,46283
217370,126433
173141,15787
1415262,1229464
110844,110154
9707,36112
9707,618095
9707,302458
9707,96155
9707,13879
36112,618095
36112,302458
36112,96155
36112,13879
618095,302458
618095,96155
618095,13879
302458,96155
302458,13879
96155,13879
144758,164246
188504,284475
38514,221653
112786,221030
493153,493152
1928545,336749
137540,96954
570484,829837
1150428,144159
885491,885492
3329552,3232614
325179,238758
61536,1827249
45044,46281
1097157,191242
1097157,1491576
191242,1491576
4818,5648
4818,39908
5648,39908
40585,285707
3273,22805
9966,94122
9966,231636
94122,231636
463122,215369
769374,242476
121637,383627
2510351,841748
2090173,2136493
26246,190329
26246,184674
190329,184674
4566288,4533949
4370668,3518978
3575808,4095543
44958,1611895
3532619,4220518
3808680,3048346
4221376,2681815
1407864,2382590
2352149,3302431
689243,86435
689243,284053
86435,284053
28104,1153964
3041494,3754803
356901,356899
272326,5645492
4093406,187964
1884083,1884082
4369059,1738483
50997,166308
2937522,2937520
37197,80040
132084,722712
215993,65049
237323,170971
232886,119629
141241,630296
4848,772340
288069,65869
362369,348302
175154,1059062
810662,810663
793283,1248419
175089,90013
80569,173280
463122,2474800
320851,431810
320851,1459951
431810,1459951
79703,66806
79703,169257
66806,169257
100610,1422394
1218066,1215399
13876,53485
13876,34335
53485,34335
988770,215993
185848,143896
185848,231900
143896,231900
39908,105456
39908,14753
105456,14753
50514,93616
50514,11152
93616,11152
373167,3870138
177857,3621229
220580,242695
220580,250604
242695,250604
130964,232451
214299,192683
410449,611732
63774,62571
107769,36100
107769,211036
36100,211036
198567,178698
198567,297092
198567,297093
178698,297092
178698,297093
297092,297093
177091,216408
208076,133869
208076,1034178
133869,1034178
132084,78349
132084,127836
78349,127836
13732,241015
133866,823874
133866,184282
823874,184282
167209,302446
167209,179335
302446,179335
180993,197812
180993,133869
197812,133869
2250916,218956
2250916,449949
218956,449949
343355,186837
80799,150565
152098,272157
26592,26713
26592,14742
26713,14742
35746,116237
130532,43011
130532,50595
130532,62919
43011,50595
43011,62919
50595,62919
38561,9741
173448,612591
366551,16409
1516953,174122
1516953,354816
174122,354816
988770,2210246
988770,1479204
2210246,1479204
65048,124892
3298939,3298943
2871359,3298939
2871359,2689392
3298939,2689392
1596318,97976
775889,1047641
50997,9741
2042023,2042026
3255590,3255589
3255590,3255591
3255589,3255591
298137,81056
193558,184474
233184,137602
233184,120307
137602,120307
231095,110844
13733,35125
1093094,137880
1093094,14014
137880,14014
33417,31518
51065,191373
46282,149094
76017,82690
76017,110595
82690,110595
50677,223696
661484,661485
32551,199215
3448166,3228170
130210,246248
1271206,1271205
244195,842291
295234,295231
130210,283446
10578,217894
3007550,1283971
3007550,1546718
1283971,1546718
132084,209294
132084,209294
899392,43011
899392,14488
899392,50514
899392,98629
899392,219213
899392,23045
899392,257884
899392,112737
899392,17594
899392,35746
899392,159342
43011,14488
43011,50514
43011,98629
43011,219213
43011,23045
43011,257884
43011,112737
43011,17594
43011,35746
43011,159342
14488,50514
14488,98629
14488,219213
14488,23045
14488,257884
14488,112737
14488,17594
14488,35746
14488,159342
50514,98629
50514,219213
50514,23045
50514,257884
50514,112737
50514,17594
50514,35746
50514,159342
98629,219213
98629,23045
98629,257884
98629,112737
98629,17594
98629,35746
98629,159342
219213,23045
219213,257884
219213,112737
219213,17594
219213,35746
219213,159342
23045,257884
23045,112737
23045,17594
23045,35746
23045,159342
257884,112737
257884,17594
257884,35746
257884,159342
112737,17594
112737,35746
112737,159342
17594,35746
17594,159342
35746,159342
47512,144910
47512,113467
144910,113467
111502,1995055
3036981,679338
3036981,206862
679338,206862
1219296,115725
2708839,3045466
216708,819142
100257,558024
1198438,1252580
614963,4061019
4949103,3721503
4949103,2644206
3721503,2644206
32296,57508
72041,668332
1409320,92898
257267,2194
257267,86435
2194,86435
214242,258407
1336527,1336526
1546718,607358
1546718,715813
607358,715813
1746110,1633080
3420655,1751938
204817,38661
187964,40445
187964,32446
187964,22910
40445,32446
40445,22910
32446,22910
2050581,139777
2050581,1804672
2050581,1804673
139777,1804672
139777,1804673
1804672,1804673
1439270,3678583
4069674,93245
1748722,4084043
62134,75187
842568,1003710
1357841,109335
143557,39376
3215347,1525271
1835598,2334532
316367,226194
1222520,1645496
48506,1229163
2345618,3071837
25495,390896
207191,350933
113673,892906
3542151,793307
212142,205201
212142,331629
212142,122418
205201,331629
205201,122418
331629,122418
1825993,220580
34413,72025
16508,150554
476414,186449
44661,1043981
674503,198011
6953,48354
1226949,1116086
39954,39955
2050581,3887730
59037,82679
406165,35848
37906,110844
37906,90037
110844,90037
76242,51352
76242,108856
51352,108856
36099,150781
97139,120307
97139,36100
120307,36100
41922,37906
9373,50200
158786,8285
76894,45746
2048827,65049
669039,72461
28738,14560
138038,109832
420349,36100
39455,51368
239305,120307
209479,120307
374226,382934
1525173,134987
220580,382934
910493,245385
470620,293744
2697998,487029
2697998,120307
487029,120307
1043044,885100
62571,100751
1264567,229665
